"concept","word","country","gender","preference","id"
"Food and fodder","Can be used as fodder as well us food","Kenya","Male","Preferred",168
"Home use","Household will be food secured","Kenya","Female","Preferred",169
"Livestock feed","It will reduce the cost of livestock feed","Kenya","Male","Preferred",170
"Resilience","Can withstand drought and diseases.","Kenya","Male","Preferred",171
"Family nutrition","Can be used more to feed children.","Kenya","Female","Preferred",172
"Resilience","It can withstand all weather, resistant to disease, uses less fertilizer, can do well in less fertile soils.","Kenya","Female","Preferred",173
"Intercropping (with beans)","Can be planted with other crops, its high yielding.","Kenya","Female","Preferred",174
"Family nutrition","Produces big maize cobs, it has a sweet taste, contains vitamin A which helps children grow healthier .","Kenya","Female","Preferred",175
"Drought avoidance","It is has high nutrition value","Kenya","Female","Preferred",176
"Resilience","More production of both beans and maize","Kenya","Male","Preferred",177
"Intercropping (with beans)","It is highly productive and requires less fertiliser","Kenya","Male","Preferred",178
"Drought avoidance","It resists to drought","Kenya","Male","Preferred",179
"Intercropping (with beans)","Because you can have multiple harvests from intercropping","Kenya","Male","Preferred",180
"Home use","The crop is drought resistant","Kenya","Female","Preferred",181
"Drought avoidance","It is drought resistant therefore harvest is granted","Kenya","Male","Preferred",182
"Food and fodder","It can survive during drought and attack from diseases","Kenya","Male","Preferred",183
"Resilience","It has large harvest","Kenya","Male","Preferred",184
"Resilience","It can survive both rainy and drought season and has high yields.","Kenya","Female","Preferred",185
"Home use","It is resistant to drought and diseases","Kenya","Male","Preferred",186
"Intercropping (with beans)","It is very suitable to our dry land as it can resist drought and diseases","Kenya","Male","Preferred",187
"Intercropping (with beans)","It can be intercropped and do well with Beans","Kenya","Male","Preferred",188
"Resilience","It does not need much fertiliser It is almost similar to current veriety used by respondent","Kenya","Female","Preferred",189
"Intercropping (with beans)","It has higher yield and can be intercropped and still do well","Kenya","Female","Preferred",190
"Resilience","Because the variety is resistant to crop diseases It requires less fertilizers compared to other varieties.","Kenya","Male","Preferred",191
"Home use","Both for home consumption and livestock fodder","Kenya","Male","Preferred",192
"Resilience","Resistant to drought and diseases","Kenya","Female","Preferred",193
"Home use","It can be stored for long time without weevils infestation.","Kenya","Male","Preferred",194
"Family nutrition","Because it can be sold and get income.","Kenya","Female","Preferred",195
"Drought avoidance","Performs well when rainfall is scarse and plenty","Kenya","Male","Preferred",196
"Intercropping (with beans)","It benefits me and livestock in terms of consumption","Kenya","Female","Preferred",197
"Food and fodder","Can be consumed at home and also by livestock","Kenya","Female","Preferred",198
"Resilience","During low rainfall seasons I can still harvest normally","Kenya","Female","Preferred",199
"Drought avoidance","It is somehow drought resistant compared to the other three","Kenya","Male","Preferred",200
"Food and fodder","It is useful for both animals and livestocks","Kenya","Female","Preferred",201
"Drought avoidance","It can withstand drought and diseases","Kenya","Female","Preferred",202
"Intercropping (with beans)","According to the area it can produce yields even with low rainfall","Kenya","Female","Preferred",203
"Drought avoidance","Ability to withstand drought and diseases.","Kenya","Female","Preferred",204
"Resilience","Ability to resist drought and diseases is high","Kenya","Female","Preferred",205
"Intercropping (with beans)","It is highly productive.","Kenya","Male","Preferred",206
"Family nutrition","When you eat healthy you are energetic to work.","Kenya","Male","Preferred",207
"Resilience","It is drought resistant and weather patterns have been extreme the past year","Kenya","Male","Preferred",208
"Home use","Its can be stored for long without special storage equipment.","Kenya","Female","Preferred",209
"Food and fodder","It can be used as human and livestock feed.","Kenya","Female","Preferred",210
"Resilience","Adaptability to different weather conditions","Kenya","Female","Preferred",211
"Resilience","Planted in less fertile soils, for instance his shamba","Kenya","Male","Preferred",212
"Intercropping (with beans)","Nitrogen fixation to the soil","Kenya","Male","Preferred",213
"Home use","Used as food and for market purposes to earn income","Kenya","Male","Preferred",214
"Drought avoidance","Shorter maturity period avoiding drought","Kenya","Male","Preferred",215
"Intercropping (with beans)","The variety can be intercropped with other crops This variety requires less fertiliser","Kenya","Male","Preferred",216
"Family nutrition","It`s has more nutrients","Kenya","Female","Preferred",217
"Intercropping (with beans)","It can be planted together with beans","Kenya","Female","Preferred",218
"Home use","It can be stored for a long period of time","Kenya","Male","Preferred",219
"Family nutrition","It`s good for family food","Kenya","Male","Preferred",220
"Home use","Higher grain yields, that can be sold or used for household consumption","Kenya","Female","Preferred",221
"Home use","Provides grains enough for household consumption and for the market","Kenya","Male","Preferred",222
"Resilience","More resistant to diseases and drought","Kenya","Male","Preferred",223
"Drought avoidance","Takes shorter time to mature","Kenya","Female","Preferred",224
"Intercropping (with beans)","It can be intercropped with other crops","Kenya","Female","Preferred",225
"Drought avoidance","It can withstand drought and diseases","Kenya","Female","Preferred",226
"Food and fodder","It is useful to livestocks and animals","Kenya","Female","Preferred",227
"Resilience","It can withstand drought and diseases","Kenya","Male","Preferred",228
"Intercropping (with beans)","It saves the space","Kenya","Male","Preferred",229
"Drought avoidance","It can withstand drought and diseases","Kenya","Male","Preferred",230
"Family nutrition","Nutrients are healthy for the family.","Kenya","Male","Preferred",231
"Intercropping (with beans)","Less inputs with high yield.","Kenya","Female","Preferred",232
"Drought avoidance","It can do well when there is drought.","Kenya","Female","Preferred",233
"Food and fodder","High production and double uses as food and feed","Kenya","Female","Preferred",234
"Resilience","High yield with less inputs.","Kenya","Male","Preferred",235
"Home use","Better for food| food security as it`s highly productive","Kenya","Female","Preferred",236
"Intercropping (with beans)","Intercropped with other plants","Kenya","Male","Preferred",237
"Home use","His centre of interest is food security","Kenya","Male","Preferred",238
"Resilience","Little fertiliser requirements","Kenya","Female","Preferred",239
"Intercropping (with beans)","Diversified/high production is ensured","Kenya","Female","Preferred",240
"Drought avoidance","Matures within a short period to avoid drought","Kenya","Female","Preferred",241
"Family nutrition","It is highly nutritious","Kenya","Male","Preferred",242
"Home use","Domestic use and can be sold which is his main objective.","Kenya","Male","Preferred",243
"Drought avoidance","It is Drought avoidance hence even in drought season you can harvest","Kenya","Female","Preferred",244
"Home use","This is the most suitable for household use, because it is sweeter","Kenya","Female","Preferred",245
"Resilience","Short duration of maturity, and less fertilizer requirements","Kenya","Female","Preferred",246
"Family nutrition","Presence of Vitamin A, this variety can also be sold at the local market","Kenya","Male","Preferred",247
"Food and fodder","This variety is a multipurpose use variety, useful as fodder and food","Kenya","Male","Preferred",248
"Resilience","Less fertilizer requirements, and high resistance to drought and diseases","Kenya","Female","Preferred",249
"Drought avoidance","Takes shorter time to mature, highly resistant to drought and diseases. I will still harvest even after drought and diseases occur","Kenya","Male","Preferred",250
"Home use","It is good for home consumption","Kenya","Female","Preferred",251
"Family nutrition","Good health is a priority in life","Kenya","Male","Preferred",252
"Green maize","The taste is sweet and healthy for the family","Kenya","Female","Preferred",253
"Resilience","It is drought resistant.","Kenya","Male","Preferred",254
"Home use","It tastes good and is good fof home use","Kenya","Male","Preferred",255
"Food and fodder","It is useful to both animals and livestocks","Kenya","Male","Preferred",256
"Drought avoidance","It can withstand drought incase of little rain","Kenya","Male","Preferred",257
"Resilience","It can resist drought and diseases","Kenya","Male","Preferred",258
"Intercropping (with beans)","It`s easy and minimises the size of the land","Kenya","Female","Preferred",259
"Drought avoidance","It can withstand drought and diseases","Kenya","Female","Preferred",260
"Resilience","This variety is more resistant to drought and diseases","Kenya","Male","Preferred",261
"Home use","I like the variety because I will incur less cost in storage","Kenya","Male","Preferred",262
"Intercropping (with beans)","Low fertilizer requirements","Kenya","Female","Preferred",263
"Drought avoidance","No total loss in case of drought and diseases","Kenya","Male","Preferred",264
"Family nutrition","Presence of Vitamin A and beta carotene, moderately resistant to drought and diseases","Kenya","Male","Preferred",265
"Home use","It can be stored for long without pests destruction hence can be eaten for a long period of time by the family","Kenya","Female","Preferred",266
"Green maize","It can do well in normal weather conditions","Kenya","Male","Preferred",267
"Food and fodder","It can be used as household food and livestock fodder","Kenya","Male","Preferred",268
"Home use","It can be stored for 6 months without pests","Kenya","Female","Preferred",269
"Resilience","It requires less fertiliser It can be used mainly as human food and for sale","Kenya","Female","Preferred",270
"Intercropping (with beans)","Can be intercropped with other crops like beans hence Nitrogen fixation to the soil","Kenya","Female","Preferred",271
"Home use","Sweet taste when roasted and tasty ugali","Kenya","Male","Preferred",272
"Resilience","Grown in varying weather conditions","Kenya","Female","Preferred",273
"Food and fodder","She can use both as food and animal feed","Kenya","Female","Preferred",274
"Green maize","Can used as green as well as dried to obtain grains","Kenya","Male","Preferred",275
"Drought avoidance","The variety matures faster","Kenya","Male","Preferred",276
"Home use","The variety has longer storage period","Kenya","Male","Preferred",277
"Green maize","Because the variety matures in four months","Kenya","Male","Preferred",278
"Family nutrition","The variety has vitamins that are good for children","Kenya","Male","Preferred",279
"Drought avoidance","The variety does well even with little rain","Kenya","Female","Preferred",280
"Food and fodder","Tastier.","Kenya","Female","Preferred",281
"Resilience","Its Drought resistance","Kenya","Female","Preferred",282
"Home use","This variety produces high yields which ensures there`s ensures maize for consumption when hunger strikes.","Kenya","Male","Preferred",283
"Family nutrition","It has Vit A","Kenya","Male","Preferred",284
"Drought avoidance","It`s highly drought resistant","Kenya","Female","Preferred",285
"Intercropping (with beans)","Can be intercropped, less use of fertilizer, fixes nitrogen in the soil.","Kenya","Female","Preferred",286
"Family nutrition","Has vitamin A, which is good general wellbeing of the body and good for children growth.","Kenya","Female","Preferred",287
"Home use","Produces a lot of maize, which an be consumed at home and still be sold. It as a long shelf life.","Kenya","Female","Preferred",288
"Food and fodder","Can be used as food and fodder at the same time.","Kenya","Male","Preferred",289
"Resilience","High resistance to diseases.","Kenya","Male","Preferred",290
"Drought avoidance","Survive both drought and rainy season","Kenya","Female","Preferred",291
"Green maize","It`s good for short season","Kenya","Female","Preferred",292
"Family nutrition","It`s good for health Source of income","Kenya","Male","Preferred",293
"Intercropping (with beans)","It`s good for smallholders farmers","Kenya","Male","Preferred",294
"Intercropping (with beans)","Uses low fertiliser","Kenya","Female","Preferred",295
"Drought avoidance","Suitable for the changing weather conditions","Kenya","Male","Preferred",296
"Food and fodder","Used to the variety for both food and fodder","Kenya","Male","Preferred",297
"Intercropping (with beans)","Uses less fertiliser and helps to restore nitrogen in the soils","Kenya","Male","Preferred",298
"Drought avoidance","Suitable for the changing weather conditions","Kenya","Female","Preferred",299
"Food and fodder","Has multiple uses","Kenya","Female","Preferred",300
"Green maize","The variety can be used when fresh and green and also when dried.","Kenya","Male","Preferred",301
"Family nutrition","It has vitamins","Kenya","Female","Preferred",302
"Intercropping (with beans)","The variety allows nitrogen to be fixed in the soil.","Kenya","Female","Preferred",303
"Resilience","The variety can survive during dry season","Kenya","Male","Preferred",304
"Livestock feed","The variety is highly nutrious.","Kenya","Male","Preferred",305
"Food and fodder","Home consumption and livestock fodder.","Kenya","Female","Preferred",306
"Resilience","Because when there is low rainfall she will still get yields.","Kenya","Female","Preferred",307
"Drought avoidance","It is resistant to drought and crop diseases.","Kenya","Female","Preferred",308
"Drought avoidance","It is not affected by low rains.","Kenya","Male","Preferred",309
"Family nutrition","It has high nutrients and rich in vitamin A which is good for children","Kenya","Female","Preferred",310
"Intercropping (with beans)","It can be intercropped with beans and expect high yield from both maize and beans","Kenya","Male","Preferred",311
"Home use","It has high yield","Kenya","Female","Preferred",312
"Food and fodder","It us be useful for both livestock and household consumption thus more valuable","Kenya","Male","Preferred",313
"Green maize","It can be sold while green and has short maturity period","Kenya","Female","Preferred",314
"Food and fodder","It can be used as fodder and I am a livestock farmer","Kenya","Male","Preferred",315
"Drought avoidance","Due to climate changes this variety is favourable since it matures fast .","Kenya","Male","Preferred",316
"Home use","It can be stored for long Can be used for home consumption and for commercial","Kenya","Male","Preferred",317
"Intercropping (with beans)","This is similar to what I plant Requires less fertiliser It gives multiple harvests","Kenya","Female","Preferred",318
"Home use","Ensures there`s enough food supply at home","Kenya","Male","Preferred",319
"Intercropping (with beans)","Will allow me to do intercropping and still get good harvest also it requires less amount of Fertiliser","Kenya","Female","Preferred",320
"Resilience","It resilient to drought and diseases is high, requires less amount of Fertiliser and has high yeild","Kenya","Female","Preferred",321
"Family nutrition","It has nutrients that are beneficial to human consumption","Kenya","Male","Preferred",322
"Home use","Can be stored for upto 6 months without treatment and still not be attacked by insects pests","Kenya","Female","Preferred",323
"Resilience","It is resistance to crop diseases and drought It can be consumed at home as well as sold.","Kenya","Male","Preferred",324
"Drought avoidance","It takes shorter time which can do well during drought","Kenya","Male","Preferred",325
"Green maize","It will bring income to the farmer","Kenya","Male","Preferred",326
"Intercropping (with beans)","The farmer will have enough food ie. both maize and beans","Kenya","Female","Preferred",327
"Family nutrition","It contains vitamin A which improves the health of children","Kenya","Male","Preferred",328
"Drought avoidance","It`s resistance to drought","Kenya","Female","Preferred",329
"Family nutrition","It takes a shorter time to mature and has vitamin A","Kenya","Female","Preferred",330
"Drought avoidance","Because it is drought resistant and it also has good tolerance to diseases","Kenya","Female","Preferred",331
"Home use","Because it tastes good in Ugali and it can also be stored for a long period of time","Kenya","Female","Preferred",332
"Drought avoidance","Because it is drought tolerant","Kenya","Female","Preferred",333
"Intercropping (with beans)","Because it is high yielding and double harvest as the farmer also plants beans in the same plot","Kenya","Male","Preferred",334
"Intercropping (with beans)","Because it is high yielding","Kenya","Female","Preferred",335
"Resilience","No fear of losing harvest incase of drought or diseases","Kenya","Male","Preferred",336
"Family nutrition","It has high vitamin levels good for children and overall health .","Kenya","Female","Preferred",337
"Family nutrition","Vitamin A forchildren,high quantity of grain harvest","Kenya","Female","Preferred",338
"Resilience","It resistance to drought and diseases.","Kenya","Female","Preferred",339
"Drought avoidance","Can do well in low rainfall hence harvest","Kenya","Male","Preferred",340
"Intercropping (with beans)","Twin harvest from both maize and beans","Kenya","Male","Preferred",341
"Food and fodder","Feeding livestock and human consumption","Kenya","Male","Preferred",342
"Home use","Preference given to ugali","Kenya","Male","Preferred",343
"Family nutrition","Health comes fast before anything","Kenya","Male","Preferred",344
"Home use","Ugali","Kenya","Male","Preferred",345
"Family nutrition","Nurtitious","Kenya","Male","Preferred",346
"Intercropping (with beans)","Higher yields for my family use","Kenya","Female","Preferred",347
"Resilience","Low fertilizer uptake, shorter maturity period","Kenya","Female","Preferred",348
"Family nutrition","Healthy for family","Kenya","Male","Preferred",349
"Home use","Can satisfy home needs well","Kenya","Female","Preferred",350
"Resilience","It is drought resistant and can be planted for two seasons.","Kenya","Male","Preferred",351
"Drought avoidance","It can do well in harsh conditions","Kenya","Male","Preferred",352
"Family nutrition","Its healthy for home use.","Kenya","Female","Preferred",353
"Food and fodder","It is economical in its use as human and animal feed","Kenya","Male","Preferred",354
"Intercropping (with beans)","Its profitable to intercrop both beans and maize as it will lead to higher production.","Kenya","Female","Preferred",355
"Resilience","It is resistant to drought It requires less fertiliser","Kenya","Female","Preferred",356
"Home use","It`s used as food at home and with food at home I can do other things smoothly","Kenya","Male","Preferred",357
"Drought avoidance","It is resistant to diseases and Drought It has early maturity It can be used as food, it can be sold and can also be used as livestock feed","Kenya","Male","Preferred",358
"Drought avoidance","It is Drought resistant","Kenya","Male","Preferred",359
"Resilience","It can withstand drought and diseases","Kenya","Female","Preferred",360
"Food and fodder","It`s for human and livestocks consumption","Kenya","Female","Preferred",361
"Drought avoidance","It can withstand drought","Kenya","Male","Preferred",362
