"concept","preference","country","gender","word"
"Drought avoidance","Preferred","Kenya","Female","withstand drought harvest incase theres drought"
"Food and fodder","Preferred","Kenya","Male","useful farmers livestock household large"
"Home use","Preferred","Kenya","Female","good taste"
"Food and fodder","Preferred","Kenya","Female","relatively higher rainfall yield moderate fertilizer requirement"
"Family nutrition","Preferred","Kenya","Female","presence nutritious moderate rainfall yield"
"Resilience","Preferred","Kenya","Male","high resistant disease drought low fertilizer requirement shorter duration maturity"
"Drought avoidance","Preferred","Kenya","Male","high resistant drought"
"Intercropping (with beans)","Preferred","Kenya","Female","less fertilizer requirement"
"Food and fodder","Preferred","Kenya","Female","fodder human livestock"
"Resilience","Preferred","Kenya","Female","resistant pests disease"
"Livestock feed","Preferred","Kenya","Male","livestock human consumption"
"Drought avoidance","Preferred","Kenya","Female","weather nowadays predicted drought resistant better"
"Drought avoidance","Preferred","Kenya","Female","resistant disease drought"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Home use","Preferred","Kenya","Female","meet household food requirement solely purpose"
"Livestock feed","Preferred","Kenya","Male","multipurpose uses human livestock consumption"
"Resilience","Preferred","Kenya","Male","adaptable different weather conditions"
"Intercropping (with beans)","Preferred","Kenya","Male","nutrient soil"
"Resilience","Preferred","Kenya","Female","food firstthe priority food"
"Home use","Preferred","Kenya","Male","fodder household"
"Food and fodder","Preferred","Kenya","Male","human consumption livestock"
"Livestock feed","Preferred","Kenya","Female","high expectation profits"
"Drought avoidance","Preferred","Kenya","Female","early harvest"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop double harvest"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Drought avoidance","Preferred","Kenya","Male","drought tolerate disease pest resistant"
"Home use","Preferred","Kenya","Female","long storage duration pest invasion"
"Resilience","Preferred","Kenya","Female","drought resistant suitable area farmer comes area drought"
"Home use","Preferred","Kenya","Male","floor white taste good"
"Family nutrition","Preferred","Kenya","Female","nutritious small children"
"Intercropping (with beans)","Preferred","Kenya","Female","planted yield maize"
"Resilience","Preferred","Kenya","Male","resistant drought disease"
"Family nutrition","Preferred","Kenya","Male","gives drought maize household usenutritious children"
"Family nutrition","Preferred","Kenya","Female","contains nutritious improves health children"
"Intercropping (with beans)","Preferred","Kenya","Female","seed concept gives cobs plant"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Home use","Preferred","Kenya","Male","gives enough food household uses"
"Food and fodder","Preferred","Kenya","Male","seed concept consumption fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield crop"
"Food and fodder","Preferred","Kenya","Male","fodder livestock"
"Food and fodder","Preferred","Kenya","Male","good household livestock uses"
"Drought avoidance","Preferred","Kenya","Female","shorter maturity periods"
"Resilience","Preferred","Kenya","Female","help area"
"Drought avoidance","Preferred","Kenya","Male","climate changes experienced draught resisting characteristi makes preferable"
"Resilience","Preferred","Kenya","Male","seed theres scarcity rainfall low soil fertility"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop"
"Home use","Preferred","Kenya","Female","mainly household consumption"
"Family nutrition","Preferred","Kenya","Female","nutritious value children"
"Home use","Preferred","Kenya","Male","suitable fodder children"
"Resilience","Preferred","Kenya","Female","high yield neighbours yield low rainfall"
"Resilience","Preferred","Kenya","Female","resisting drought less rainfall"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop still yield high produces"
"Food and fodder","Preferred","Kenya","Male","facts food household fodder dairy livestock"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Livestock feed","Preferred","Kenya","Female","fodder livestock"
"Livestock feed","Preferred","Kenya","Female","multiple uses"
"Home use","Preferred","Kenya","Male","average harvest"
"Food and fodder","Preferred","Kenya","Female","multiple uses"
"Family nutrition","Preferred","Kenya","Female","health benefits additional nutrient"
"Intercropping (with beans)","Preferred","Kenya","Female","plant multiple crop time"
"Resilience","Preferred","Kenya","Female","grow differenttheir soil weather conditions low fertilizer uses"
"Intercropping (with beans)","Preferred","Kenya","Male","crop"
"Home use","Preferred","Kenya","Female","higher yield"
"Intercropping (with beans)","Preferred","Kenya","Female","harvest maize"
"Resilience","Preferred","Kenya","Male","loss case drought"
"Drought avoidance","Preferred","Kenya","Male","fear farm loss"
"Resilience","Preferred","Kenya","Female","crop loss"
"Intercropping (with beans)","Preferred","Kenya","Male","experience"
"Intercropping (with beans)","Preferred","Kenya","Female","plant produces cobs plant"
"Food and fodder","Preferred","Kenya","Male","serves food consumption livestock fodder"
"Resilience","Preferred","Kenya","Male","endure grow sporadic low rainfall"
"Family nutrition","Preferred","Kenya","Female","rich nutritious important nutritious children schools"
"Food and fodder","Preferred","Kenya","Male","consumption livestock fodder"
"Resilience","Preferred","Kenya","Female","drought resistanceless fertilizer usage"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop result double harvest"
"Green maize","Preferred","Kenya","Female","good business generates income salestastes good"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop save farming areaand uses less fertilizer"
"Family nutrition","Preferred","Kenya","Male","nutritious young children good overall health"
"Food and fodder","Preferred","Kenya","Male","multiple uses livestock fodder consumption"
"Intercropping (with beans)","Preferred","Kenya","Female","high yield"
"Food and fodder","Preferred","Kenya","Male","multiple useas livestock fodder human consumption"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield theres enough rainfall"
"Home use","Preferred","Kenya","Male","drought resistant"
"Drought avoidance","Preferred","Kenya","Female","assured harvest drought"
"Family nutrition","Preferred","Kenya","Female","good household"
"Home use","Preferred","Kenya","Male","need fodder household"
"Green maize","Preferred","Kenya","Male","sell good money"
"Intercropping (with beans)","Preferred","Kenya","Female","better yield maize good space"
"Drought avoidance","Preferred","Kenya","Female","surety harvest"
"Intercropping (with beans)","Preferred","Kenya","Female","harvest maize"
"Home use","Preferred","Kenya","Male","good taste ugali"
"Home use","Preferred","Kenya","Male","ugalistaple food"
"Family nutrition","Preferred","Kenya","Female","lot nutritious good health"
"Drought avoidance","Preferred","Kenya","Male","pending"
"Food and fodder","Preferred","Kenya","Female","human livestock consumption"
"Intercropping (with beans)","Preferred","Kenya","Male","planted together crop legumes acts Nitrogen fixers soil increases soil fertility readiness next seasons"
"Resilience","Preferred","Kenya","Male","high yield drought resistant"
"Food and fodder","Preferred","Kenya","Female","consumption livestock fodder"
"Drought avoidance","Preferred","Kenya","Female","produces yield normal drought"
"Intercropping (with beans)","Preferred","Kenya","Male","good food security land small size"
"Family nutrition","Preferred","Kenya","Male","presence nutritious"
"Food and fodder","Preferred","Kenya","Male","achieves food security human livestock"
"Livestock feed","Preferred","Kenya","Male","good source fibre livestock"
"Drought avoidance","Preferred","Kenya","Female","high tolerance drought maturity fast"
"Resilience","Preferred","Kenya","Female","high resistant disease"
"Drought avoidance","Preferred","Kenya","Male","drought"
"Family nutrition","Preferred","Kenya","Female","sweet nutritious good children"
"Resilience","Preferred","Kenya","Male","highly resistant less fertilizer requirement"
"Family nutrition","Preferred","Kenya","Female","good children consumption high nutritious"
"Drought avoidance","Preferred","Kenya","Female","drought avoids"
"Food and fodder","Preferred","Kenya","Male","fodder food"
"Home use","Preferred","Kenya","Female","household food secured"
"Livestock feed","Preferred","Kenya","Male","reduces cost livestock fodder"
"Resilience","Preferred","Kenya","Male","withstand drought disease"
"Family nutrition","Preferred","Kenya","Female","fodder children"
"Resilience","Preferred","Kenya","Female","withstand weather resistant disease uses less fertilizer less fertility soil"
"Intercropping (with beans)","Preferred","Kenya","Female","planted crop high yield"
"Family nutrition","Preferred","Kenya","Female","produces big maize cobs sweet taste contains nutritious helps children grow healthier"
"Drought avoidance","Preferred","Kenya","Female","high nutrition value"
"Resilience","Preferred","Kenya","Male","production maize"
"Intercropping (with beans)","Preferred","Kenya","Male","highly productive requires less fertilizer"
"Drought avoidance","Preferred","Kenya","Male","resistant drought"
"Intercropping (with beans)","Preferred","Kenya","Male","multiple harvest intercrop"
"Home use","Preferred","Kenya","Female","crop drought resistant"
"Drought avoidance","Preferred","Kenya","Male","drought resistant therefore harvest granted"
"Food and fodder","Preferred","Kenya","Male","survive drought attack disease"
"Resilience","Preferred","Kenya","Male","large harvest"
"Resilience","Preferred","Kenya","Female","survive rainfall drought seasons high yield"
"Home use","Preferred","Kenya","Male","resistant drought disease"
"Intercropping (with beans)","Preferred","Kenya","Male","suitable drought land resistant drought disease"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop"
"Resilience","Preferred","Kenya","Female","need much fertilizer almost similar current variety respondent"
"Intercropping (with beans)","Preferred","Kenya","Female","higher yield intercrop still"
"Resilience","Preferred","Kenya","Male","resistant crop disease requires less fertilizer compared"
"Home use","Preferred","Kenya","Male","household consumption livestock fodder"
"Resilience","Preferred","Kenya","Female","resistant drought disease"
"Home use","Preferred","Kenya","Male","storage long time pests infestation"
"Family nutrition","Preferred","Kenya","Female","sold income"
"Drought avoidance","Preferred","Kenya","Male","performs rainfall scarse plenty"
"Intercropping (with beans)","Preferred","Kenya","Female","benefits livestock terms consumption"
"Food and fodder","Preferred","Kenya","Female","consumed household livestock"
"Resilience","Preferred","Kenya","Female","low rainfall seasons still harvest normally"
"Drought avoidance","Preferred","Kenya","Male","somehow drought resistant compared"
"Food and fodder","Preferred","Kenya","Female","useful livestock livestock"
"Drought avoidance","Preferred","Kenya","Female","withstand drought disease"
"Intercropping (with beans)","Preferred","Kenya","Female","according area produces yield low rainfall"
"Drought avoidance","Preferred","Kenya","Female","ability withstand drought disease"
"Resilience","Preferred","Kenya","Female","ability resistant drought disease high"
"Intercropping (with beans)","Preferred","Kenya","Male","highly productive"
"Family nutrition","Preferred","Kenya","Male","eat nutritious energetic work"
"Resilience","Preferred","Kenya","Male","drought resistant weather patterns extreme past year"
"Home use","Preferred","Kenya","Female","storage long special storage equipment"
"Food and fodder","Preferred","Kenya","Female","human livestock fodder"
"Resilience","Preferred","Kenya","Female","adaptability different weather conditions"
"Resilience","Preferred","Kenya","Male","planted less fertility soil instance shamba"
"Intercropping (with beans)","Preferred","Kenya","Male","Nitrogen fixation soil"
"Home use","Preferred","Kenya","Male","food market purposes earn income"
"Drought avoidance","Preferred","Kenya","Male","shorter maturity periods avoiding drought"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop crop requires less fertilizer"
"Family nutrition","Preferred","Kenya","Female","nutrient"
"Intercropping (with beans)","Preferred","Kenya","Female","planted together"
"Home use","Preferred","Kenya","Male","storage long periods time"
"Family nutrition","Preferred","Kenya","Male","good household food"
"Home use","Preferred","Kenya","Female","higher rainfall yield sold household consumption"
"Home use","Preferred","Kenya","Male","provides rainfall enough household consumption market"
"Resilience","Preferred","Kenya","Male","resistant disease drought"
"Drought avoidance","Preferred","Kenya","Female","takes shorter time maturity"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop crop"
"Drought avoidance","Preferred","Kenya","Female","withstand drought disease"
"Food and fodder","Preferred","Kenya","Female","useful livestock livestock"
"Resilience","Preferred","Kenya","Male","withstand drought disease"
"Intercropping (with beans)","Preferred","Kenya","Male","saves space"
"Drought avoidance","Preferred","Kenya","Male","withstand drought disease"
"Family nutrition","Preferred","Kenya","Male","nutrient nutritious household"
"Intercropping (with beans)","Preferred","Kenya","Female","less high yield"
"Drought avoidance","Preferred","Kenya","Female","drought"
"Food and fodder","Preferred","Kenya","Female","high production double uses food fodder"
"Resilience","Preferred","Kenya","Male","high yield less"
"Home use","Preferred","Kenya","Female","better food food security highly productive"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop plants"
"Home use","Preferred","Kenya","Male","centre interest food security"
"Resilience","Preferred","Kenya","Female","little fertilizer requirement"
"Intercropping (with beans)","Preferred","Kenya","Female","diversifiedhigh production ensured"
"Drought avoidance","Preferred","Kenya","Female","maturity shorter periods avoids drought"
"Family nutrition","Preferred","Kenya","Male","highly nutritious"
"Home use","Preferred","Kenya","Male","domestic uses sold main objective"
"Drought avoidance","Preferred","Kenya","Female","drought avoids drought seasons harvest"
"Home use","Preferred","Kenya","Female","suitable household uses sweeter"
"Resilience","Preferred","Kenya","Female","shorter duration maturity less fertilizer requirement"
"Family nutrition","Preferred","Kenya","Male","presence nutritious sold local market"
"Food and fodder","Preferred","Kenya","Male","multipurpose uses useful fodder food"
"Resilience","Preferred","Kenya","Female","less fertilizer requirement high resistant drought disease"
"Drought avoidance","Preferred","Kenya","Male","takes shorter time maturity highly resistant drought disease still harvest drought disease occur"
"Home use","Preferred","Kenya","Female","good household consumption"
"Family nutrition","Preferred","Kenya","Male","good health priority life"
"Green maize","Preferred","Kenya","Female","taste sweet nutritious household"
"Resilience","Preferred","Kenya","Male","drought resistant"
"Home use","Preferred","Kenya","Male","tastes good good fof household uses"
"Food and fodder","Preferred","Kenya","Male","useful livestock livestock"
"Drought avoidance","Preferred","Kenya","Male","withstand drought incase little rainfall"
"Resilience","Preferred","Kenya","Male","resistant drought disease"
"Intercropping (with beans)","Preferred","Kenya","Female","easy minimises size land"
"Drought avoidance","Preferred","Kenya","Female","withstand drought disease"
"Resilience","Preferred","Kenya","Male","resistant drought disease"
"Home use","Preferred","Kenya","Male","incur less cost storage"
"Intercropping (with beans)","Preferred","Kenya","Female","low fertilizer requirement"
"Drought avoidance","Preferred","Kenya","Male","total loss case drought disease"
"Family nutrition","Preferred","Kenya","Male","presence nutritious beta carotene moderately resistant drought disease"
"Home use","Preferred","Kenya","Female","storage long pests destruction long periods time household"
"Green maize","Preferred","Kenya","Male","normal weather conditions"
"Food and fodder","Preferred","Kenya","Male","household food livestock fodder"
"Home use","Preferred","Kenya","Female","storage months pests"
"Resilience","Preferred","Kenya","Female","requires less fertilizer mainly human food sale"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop crop Nitrogen fixation soil"
"Home use","Preferred","Kenya","Male","sweet taste roasted tasty ugali"
"Resilience","Preferred","Kenya","Female","grown varying weather conditions"
"Food and fodder","Preferred","Kenya","Female","uses food livestock fodder"
"Green maize","Preferred","Kenya","Male","green dried obtain rainfall"
"Drought avoidance","Preferred","Kenya","Male","maturity fast"
"Home use","Preferred","Kenya","Male","long storage periods"
"Green maize","Preferred","Kenya","Male","maturity months"
"Family nutrition","Preferred","Kenya","Male","nutritious good children"
"Drought avoidance","Preferred","Kenya","Female","little rainfall"
"Food and fodder","Preferred","Kenya","Female","tasty"
"Resilience","Preferred","Kenya","Female","drought resistant"
"Home use","Preferred","Kenya","Male","produces high yield ensures theres ensures maize consumption hunger strikes"
"Family nutrition","Preferred","Kenya","Male","nutritious"
"Drought avoidance","Preferred","Kenya","Female","highly drought resistant"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop less uses fertilizer fixes Nitrogen soil"
"Family nutrition","Preferred","Kenya","Female","nutritious good general wellbeing body good children growth"
"Home use","Preferred","Kenya","Female","produces lot maize consumed household still sold long shelf life"
"Food and fodder","Preferred","Kenya","Male","food fodder time"
"Resilience","Preferred","Kenya","Male","high resistant disease"
"Drought avoidance","Preferred","Kenya","Female","survive drought rainfall seasons"
"Green maize","Preferred","Kenya","Female","good shorter seasons"
"Family nutrition","Preferred","Kenya","Male","good health source income"
"Intercropping (with beans)","Preferred","Kenya","Male","good smallholders farmers"
"Intercropping (with beans)","Preferred","Kenya","Female","uses low fertilizer"
"Drought avoidance","Preferred","Kenya","Male","suitable changing weather conditions"
"Food and fodder","Preferred","Kenya","Male","food fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","uses less fertilizer helps restorage Nitrogen soil"
"Drought avoidance","Preferred","Kenya","Female","suitable changing weather conditions"
"Food and fodder","Preferred","Kenya","Female","multiple uses"
"Green maize","Preferred","Kenya","Male","fresh green dried"
"Family nutrition","Preferred","Kenya","Female","nutritious"
"Intercropping (with beans)","Preferred","Kenya","Female","allows Nitrogen fixed soil"
"Resilience","Preferred","Kenya","Male","survive drought seasons"
"Livestock feed","Preferred","Kenya","Male","highly nutritious"
"Food and fodder","Preferred","Kenya","Female","household consumption livestock fodder"
"Resilience","Preferred","Kenya","Female","low rainfall still yield"
"Drought avoidance","Preferred","Kenya","Female","resistant drought crop disease"
"Drought avoidance","Preferred","Kenya","Male","affected low rainfall"
"Family nutrition","Preferred","Kenya","Female","high nutrient rich nutritious good children"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop expect high yield maize"
"Home use","Preferred","Kenya","Female","high yield"
"Food and fodder","Preferred","Kenya","Male","useful livestock household consumption valuable"
"Green maize","Preferred","Kenya","Female","sold green shorter maturity periods"
"Food and fodder","Preferred","Kenya","Male","fodder livestock farmer"
"Drought avoidance","Preferred","Kenya","Male","climate changes favourable maturity fast"
"Home use","Preferred","Kenya","Male","storage long household consumption commercial"
"Intercropping (with beans)","Preferred","Kenya","Female","similar plant requires less fertilizer gives multiple harvest"
"Home use","Preferred","Kenya","Male","ensures theres enough food supply household"
"Intercropping (with beans)","Preferred","Kenya","Female","allows intercrop still good harvest requires less amount fertilizer"
"Resilience","Preferred","Kenya","Female","resilient drought disease high requires less amount fertilizer high yield"
"Family nutrition","Preferred","Kenya","Male","nutrient beneficial human consumption"
"Home use","Preferred","Kenya","Female","storage months treatment still attacked insects pests"
"Resilience","Preferred","Kenya","Male","resistant crop disease drought consumed household sold"
"Drought avoidance","Preferred","Kenya","Male","takes shorter time drought"
"Green maize","Preferred","Kenya","Male","bring income farmer"
"Intercropping (with beans)","Preferred","Kenya","Female","farmer enough food maize"
"Family nutrition","Preferred","Kenya","Male","contains nutritious improves health children"
"Drought avoidance","Preferred","Kenya","Female","resistant drought"
"Family nutrition","Preferred","Kenya","Female","takes shorter time maturity nutritious"
"Drought avoidance","Preferred","Kenya","Female","drought resistant good tolerance disease"
"Home use","Preferred","Kenya","Female","tastes good ugali storage long periods time"
"Drought avoidance","Preferred","Kenya","Female","drought tolerant"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield double harvest farmer plants plot"
"Intercropping (with beans)","Preferred","Kenya","Female","high yield"
"Resilience","Preferred","Kenya","Male","fear losing harvest incase drought disease"
"Family nutrition","Preferred","Kenya","Female","high nutritious levels good children overall health"
"Family nutrition","Preferred","Kenya","Female","nutritious forchildrenhigh quantity rainfall harvest"
"Resilience","Preferred","Kenya","Female","resistant drought disease"
"Drought avoidance","Preferred","Kenya","Male","low rainfall harvest"
"Intercropping (with beans)","Preferred","Kenya","Male","twin harvest maize"
"Food and fodder","Preferred","Kenya","Male","fodder livestock human consumption"
"Home use","Preferred","Kenya","Male","preference given ugali"
"Family nutrition","Preferred","Kenya","Male","health comes fast anything"
"Home use","Preferred","Kenya","Male","ugali"
"Family nutrition","Preferred","Kenya","Male","nurtitious"
"Intercropping (with beans)","Preferred","Kenya","Female","higher yield household uses"
"Resilience","Preferred","Kenya","Female","low fertilizer uptake shorter maturity periods"
"Family nutrition","Preferred","Kenya","Male","nutritious household"
"Home use","Preferred","Kenya","Female","satisfy household needs"
"Resilience","Preferred","Kenya","Male","drought resistant planted seasons"
"Drought avoidance","Preferred","Kenya","Male","harsh conditions"
"Family nutrition","Preferred","Kenya","Female","nutritious household uses"
"Food and fodder","Preferred","Kenya","Male","economical uses human livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Female","profitable intercrop maize lead higher production"
"Resilience","Preferred","Kenya","Female","resistant drought requires less fertilizer"
"Home use","Preferred","Kenya","Male","food household food household things smoothly"
"Drought avoidance","Preferred","Kenya","Male","resistant disease drought early maturity food sold livestock fodder"
"Drought avoidance","Preferred","Kenya","Male","drought resistant"
"Resilience","Preferred","Kenya","Female","withstand drought disease"
"Food and fodder","Preferred","Kenya","Female","human livestock consumption"
"Drought avoidance","Preferred","Kenya","Male","withstand drought"
"Family nutrition","Preferred","Kenya","Female","nutritious nutritious"
"Intercropping (with beans)","Preferred","Kenya","Female","size farm small prefers intercrop"
"Livestock feed","Preferred","Kenya","Female","plante early first rainfall year resistant hot weather conditions"
"Resilience","Preferred","Kenya","Female","grown varying weather conditions"
"Intercropping (with beans)","Preferred","Kenya","Male","high productivity compared intercrop"
"Intercropping (with beans)","Preferred","Kenya","Male","ensures diversified harvest food security"
"Drought avoidance","Preferred","Kenya","Male","avoids drought maturity months"
"Green maize","Preferred","Kenya","Male","suitable green maize market shorter supply area"
"Home use","Preferred","Kenya","Male","ensures theres enough food household"
"Food and fodder","Preferred","Kenya","Male","multipurpose food fodder sold"
"Drought avoidance","Preferred","Kenya","Female","ensure food security times drought takes shorter time maturity"
"Home use","Preferred","Kenya","Female","provides food household sold"
"Resilience","Preferred","Kenya","Female","soil low fertility"
"Drought avoidance","Preferred","Kenya","Female","shorter time harvest high yield"
"Home use","Preferred","Kenya","Male","nutritious stay long getting destroyed pests"
"Resilience","Preferred","Kenya","Male","drought needs low amount fertilizer"
"Food and fodder","Preferred","Kenya","Female","good human consumption fodder livestock poultry"
"Home use","Preferred","Kenya","Female","storage freely long going bad resilient pests pests"
"Resilience","Preferred","Kenya","Female","maize harvested dried human consumption survive drought attack pests disease"
"Livestock feed","Preferred","Kenya","Female","uses fodder livestock poultry"
"Family nutrition","Preferred","Kenya","Female","highly nutritious"
"Resilience","Preferred","Kenya","Male","requires low amount fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Female","planting intercrop"
"Family nutrition","Preferred","Kenya","Male","help cure malnutrition household"
"Drought avoidance","Preferred","Kenya","Female","drought seasons"
"Food and fodder","Preferred","Kenya","Male","multiple uses"
"Food and fodder","Preferred","Kenya","Female","human consumption livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","good small piece land gets multiple harvest requires less amount fertilizer"
"Resilience","Preferred","Kenya","Male","requires less amount fertilizer still good harvest"
"Intercropping (with beans)","Preferred","Kenya","Male","requires less amount fertilizer intercrop"
"Drought avoidance","Preferred","Kenya","Female","low rainfall still harvest good amount"
"Intercropping (with beans)","Preferred","Kenya","Female","small piece land intercrop crop"
"Drought avoidance","Preferred","Kenya","Female","drought resilient maize ideal area"
"Resilience","Preferred","Kenya","Female","less uses fertilizer"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop helps minimise spaces uses fertilizer less"
"Drought avoidance","Preferred","Kenya","Male","resistant drought disease maturity shorter duration"
"Food and fodder","Preferred","Kenya","Male","high yield consumption livestock fodder"
"Food and fodder","Preferred","Kenya","Male","household consumption livestock fodder"
"Resilience","Preferred","Kenya","Male","drought tolerant disease resistant"
"Livestock feed","Preferred","Kenya","Female","livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Male","got Nitrogen"
"Family nutrition","Preferred","Kenya","Female","got nutritious good farmers children"
"Intercropping (with beans)","Preferred","Kenya","Male","double cobs meaning high yield"
"Food and fodder","Preferred","Kenya","Female","serves purposes food livestock fodder"
"Intercropping (with beans)","Preferred","Kenya","Female","intercrop saves farming land space"
"Family nutrition","Preferred","Kenya","Male","nutritious good small children overall health"
"Resilience","Preferred","Kenya","Female","drought disease resistant multipurpose"
"Drought avoidance","Preferred","Kenya","Female","low rainfall"
"Home use","Preferred","Kenya","Female","gives enough food farmer next harvest seasons"
"Food and fodder","Preferred","Kenya","Female","gives enough food fodder"
"Resilience","Preferred","Kenya","Female","maturity sporadic low rainfall environments"
"Drought avoidance","Preferred","Kenya","Male","resistant pests disease"
"Resilience","Preferred","Kenya","Male","resilience factor"
"Family nutrition","Preferred","Kenya","Male","nutritious good health"
"Drought avoidance","Preferred","Kenya","Male","low risk crop loss"
"Resilience","Preferred","Kenya","Female","livestock farmer"
"Intercropping (with beans)","Preferred","Kenya","Male","harvest maize"
"Home use","Preferred","Kenya","Female","storage long time preserving"
"Resilience","Preferred","Kenya","Male","resistant pests higher yield"
"Food and fodder","Preferred","Kenya","Male","benefits livestock household"
"Family nutrition","Preferred","Kenya","Female","almost similar color"
"Intercropping (with beans)","Preferred","Kenya","Male","high yield intercrop soyabe anf others"
"Family nutrition","Preferred","Kenya","Female","contains nutritious"
"Family nutrition","Preferred","Kenya","Female","colournutritious good small children"
"Resilience","Preferred","Kenya","Male","less fertilizer usedand drought disease resistant"
"Intercropping (with beans)","Preferred","Kenya","Male","intercrop factor double yield"
"Green maize","Preferred","Kenya","Female","rainfall size big"
